sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:p_contact,avg:current_CB:n_contact,tot:current_CB:p_contact,tot:current_CB:n_contact,avg:g_CB:n,avg:g_CB:p,avg:g_CB:fsf,avg:g_CB:I,tot:g_CB:n,tot:g_CB:p,tot:g_CB:fsf,tot:g_CB:I,tot:g_opt_ci_CB:n,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:I,tot:g_opt_iv_CB:n,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:I,tot:g_opt_cv_CB:n,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:I,tot:g_nr_top_CB:n,tot:g_nr_top_CB:p,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:I,tot:g_nr_bottom_CB:n,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:I,avg:current_IB:p_contact,avg:current_IB:n_contact,tot:current_IB:p_contact,tot:current_IB:n_contact,avg:g_IB:n,avg:g_IB:p,avg:g_IB:fsf,avg:g_IB:I,tot:g_IB:n,tot:g_IB:p,tot:g_IB:fsf,tot:g_IB:I,tot:g_opt_ci_IB:n,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:I,tot:g_opt_iv_IB:n,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:I,tot:g_opt_cv_IB:n,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:I,tot:g_nr_top_IB:n,tot:g_nr_top_IB:p,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:I,tot:g_nr_bottom_IB:n,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:I,avg:current_VB:p_contact,avg:current_VB:n_contact,tot:current_VB:p_contact,tot:current_VB:n_contact,avg:g_VB:n,avg:g_VB:p,avg:g_VB:fsf,avg:g_VB:I,tot:g_VB:n,tot:g_VB:p,tot:g_VB:fsf,tot:g_VB:I,tot:g_opt_ci_VB:n,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:I,tot:g_opt_iv_VB:n,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:I,tot:g_opt_cv_VB:n,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:I,tot:g_nr_top_VB:n,tot:g_nr_top_VB:p,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:I,tot:g_nr_bottom_VB:n,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:I,tot:gother_forward_ci:n,tot:gother_forward_ci:p,tot:gother_forward_ci:fsf,tot:gother_forward_ci:I,tot:gabs_forward_ci:n,tot:gabs_forward_ci:p,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:I,tot:gother_forward_iv:n,tot:gother_forward_iv:p,tot:gother_forward_iv:fsf,tot:gother_forward_iv:I,tot:gabs_forward_iv:n,tot:gabs_forward_iv:p,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:I,tot:gother_forward_cv:n,tot:gother_forward_cv:p,tot:gother_forward_cv:fsf,tot:gother_forward_cv:I,tot:gabs_forward_cv:n,tot:gabs_forward_cv:p,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:I
# ,,,,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA,mA,cm^-3/s,cm^-3/s,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s,1/s
0.0,-1,-1,1,0.0,-26535.686856859968,0.0,-0.0002653568685685996,2.35479945840303e+22,5.213494073650358e+23,0.0,5.298532474008031e+23,23547994584.030293,521349407365.0357,0.0,1111329901192.2625,0.0,0.0,0.0,1093565932056.5275,0.0,0.0,0.0,0.0,23547994584.030254,521349407365.0349,0.0,266211878114.32645,0.0,0.0,0.0,-248447908978.59064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39508172712.94571,0.0,0.0,0.0,-0.08286561211571097,0.0,0.0,0.0,-1093565932056.5275,0.0,0.0,0.0,1994288131723.2666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248447908978.59064,0.0,0.0,0.0,-1149170108645.414,-26535.686856858483,1.306322170091405e-18,-0.0002653568685685848,1.3063221700914048e-26,2.35479945840303e+22,5.213494073650358e+23,0.0,5.298532474007637e+23,23547994584.030293,521349407365.0357,0.0,1111329901192.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994288131723.2666,23547994584.030254,521349407365.0349,0.0,266211878114.32645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1149170108645.414,0.0,0.0,0.0,0.0,15852442.391606785,827793.1115885607,1.0545156088409132e-64,1098921144555.9622,0.0,0.0,0.0,0.0,35500.95194470122,31450964.69534916,4.0064799016804685e-63,2039254784073.2537,0.0,0.0,0.0,0.0,23551238693.383442,521424166644.70215,23046523.403540112,266212620945.36322
0.029333333333333336,-1,-1,1,0.0,-26523.51742326049,0.0,-0.00026523517423260486,2.3547994444978165e+22,5.213494043887988e+23,0.0,5.294911125426814e+23,23547994444.97816,521349404388.7987,0.0,1110570348810.4116,0.0,0.0,0.0,1093549797754.0934,0.0,0.0,0.0,0.0,23547994444.978115,521349404388.7978,0.0,266211876217.42947,0.0,0.0,0.0,-249191325161.1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-958352443803114.1,0.0,0.0,0.0,-2010.0768125960603,0.0,0.0,0.0,-1093549797754.0934,0.0,0.0,0.0,1994259516443.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249191325161.1102,0.0,0.0,0.0,-1149901045860.9011,-26523.517423258916,1.306322170091405e-18,-0.00026523517423258914,1.3063221700914048e-26,2.3547994444978165e+22,5.213494043887988e+23,0.0,5.2949111158432903e+23,23547994444.97816,521349404388.7987,0.0,1110570346800.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994259516443.805,23547994444.978115,521349404388.7978,0.0,266211876217.42947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1149901045860.9011,0.0,0.0,0.0,0.0,15852448.575525526,827792.3635982465,1.054514656118851e-64,1098921084249.304,0.0,0.0,0.0,0.0,35500.4806918117,31450969.26626662,4.006480483899505e-63,2039254790152.2217,0.0,0.0,0.0,0.0,23551238693.383434,521424166644.7019,23046523.403540116,266212620945.363
0.05866666666666667,-1,-1,1,0.0,-26511.257109579463,0.0,-0.0002651125710957946,2.354799430467845e+22,5.213494013892986e+23,0.0,5.2912627352829555e+23,23547994304.678444,521349401389.2985,0.0,1109805124651.0854,0.0,0.0,0.0,1093533542789.063,0.0,0.0,0.0,0.0,23547994304.67841,521349401389.2978,0.0,266211874300.75314,0.0,0.0,0.0,-249940292438.7319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2458699021828100.0,0.0,0.0,0.0,-5156.94818214979,0.0,0.0,0.0,-1093533542789.063,0.0,0.0,0.0,1994230687462.6746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249940292438.7319,0.0,0.0,0.0,-1150637442269.294,-26511.257109578117,1.306322170091405e-18,-0.00026511257109578114,1.3063221700914048e-26,2.354799430467845e+22,5.213494013892986e+23,0.0,5.2912627106959636e+23,23547994304.678444,521349401389.2985,0.0,1109805119494.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994230687462.6746,23547994304.67841,521349401389.2978,0.0,266211874300.75314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1150637442269.294,0.0,0.0,0.0,0.0,15852454.814913146,827791.609863454,1.0545136960808554e-64,1098921023304.707,0.0,0.0,0.0,0.0,35500.00544855392,31450973.87228819,4.00648107058939e-63,2039254796295.5107,0.0,0.0,0.0,0.0,23551238693.383358,521424166644.7009,23046523.403540093,266212620945.36243
0.08800000000000001,-1,-1,1,0.0,-26498.903797146282,0.0,-0.00026498903797146276,2.354799416310106e+22,5.213493983661042e+23,0.0,5.287586643189099e+23,23547994163.101055,521349398366.1041,0.0,1109034090202.683,0.0,0.0,0.0,1093517164052.5507,0.0,0.0,0.0,0.0,23547994163.101013,521349398366.1036,0.0,266211872363.8818,0.0,0.0,0.0,-250694946213.7491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8783568817807475.0,0.0,0.0,0.0,18422.917504600016,0.0,0.0,0.0,-1093517164052.5507,0.0,0.0,0.0,1994201640628.0977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250694946213.7491,0.0,0.0,0.0,-1151379404366.38,-26498.90379714488,1.306322170091405e-18,-0.0002649890379714488,1.3063221700914048e-26,2.354799416310106e+22,5.213493983661042e+23,0.0,5.2875867310247916e+23,23547994163.101055,521349398366.1041,0.0,1109034108625.6016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994201640628.0977,23547994163.101013,521349398366.1036,0.0,266211872363.8818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1151379404366.38,0.0,0.0,0.0,0.0,15852461.11476599,827790.85026875,1.0545127285798705e-64,1098920961540.9222,0.0,0.0,0.0,0.0,35499.52615650595,31450978.514119502,4.0064816618399953e-63,2039254802521.4043,0.0,0.0,0.0,0.0,23551238693.38338,521424166644.7014,23046523.40354011,266212620945.36255
0.11733333333333335,-1,-1,1,0.0,-26486.455106267826,0.0,-0.0002648645510626782,2.3547994020218248e+22,5.213493953184286e+23,0.0,5.283882190443507e+23,23547994020.218243,521349395318.42847,0.0,1108257107307.1501,0.0,0.0,0.0,1093500658884.0652,0.0,0.0,0.0,0.0,23547994020.218193,521349395318.4276,0.0,266211870406.16418,0.0,0.0,0.0,-251455421983.07874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8485531721850745.0,0.0,0.0,0.0,17797.805668396293,0.0,0.0,0.0,-1093500658884.0652,0.0,0.0,0.0,1994172368788.7385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251455421983.07874,0.0,0.0,0.0,-1152127114089.9468,-26486.455106266458,1.4640943511356074e-18,-0.00026486455106266454,1.4640943511356072e-26,2.3547994020218248e+22,5.213493953184286e+23,0.0,5.2838822752988224e+23,23547994020.218243,521349395318.42847,0.0,1108257125104.9553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994172368788.7385,23547994020.218193,521349395318.4276,0.0,266211870406.16418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1152127114089.9468,0.0,0.0,0.0,0.0,15852467.46978207,827790.0846327317,1.0545117533848785e-64,1098920899227.1514,0.0,0.0,0.0,0.0,35499.04269112623,31450983.19286857,4.0064822577924883e-63,2039254808802.7139,0.0,0.0,0.0,0.0,23551238693.383408,521424166644.70123,23046523.403540097,266212620945.3627
0.14666666666666667,-1,-1,1,0.0,-26473.90884504439,0.0,-0.00026473908845044386,2.3547993875999386e+22,5.2134939224580314e+23,0.0,5.280148702935254e+23,23547993875.999382,521349392245.80304,0.0,1107474034574.4636,0.0,0.0,0.0,1093484024145.0184,0.0,0.0,0.0,0.0,23547993875.99934,521349392245.8024,0.0,266211868427.1465,0.0,0.0,0.0,-252221857997.6993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192503885639708.0,0.0,0.0,0.0,17183.200402012677,0.0,0.0,0.0,-1093484024145.0184,0.0,0.0,0.0,1994142867543.8223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252221857997.6993,0.0,0.0,0.0,-1152880684213.305,-26473.908845042894,1.1485499890472026e-18,-0.0002647390884504289,1.1485499890472025e-26,2.3547993875999386e+22,5.2134939224580314e+23,0.0,5.280148784860302e+23,23547993875.999382,521349392245.80304,0.0,1107474051757.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994142867543.8223,23547993875.99934,521349392245.8024,0.0,266211868427.1465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1152880684213.305,0.0,0.0,0.0,0.0,15852473.884519843,827789.3128339135,1.0545107703411138e-64,1098920836214.0397,0.0,0.0,0.0,0.0,35498.55495991136,31450987.909278393,4.0064828585414553e-63,2039254815154.5461,0.0,0.0,0.0,0.0,23551238693.383427,521424166644.7018,23046523.4035401,266212620945.36304
0.17600000000000002,-1,-1,1,0.0,-26461.262603100327,0.0,-0.00026461262603100325,2.354799373041273e+22,5.2134938914761855e+23,0.0,5.276385463390378e+23,23547993730.412724,521349389147.6184,0.0,1106684721561.4575,0.0,0.0,0.0,1093467256633.168,0.0,0.0,0.0,0.0,23547993730.412678,521349389147.6176,0.0,266211866426.27725,0.0,0.0,0.0,-252994401497.98727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7904521539974396.0,0.0,0.0,0.0,16579.177697002713,0.0,0.0,0.0,-1093467256633.168,0.0,0.0,0.0,1994113131226.2068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252994401497.98727,0.0,0.0,0.0,-1153640259511.849,-26461.262603099025,1.4640943511356074e-18,-0.00026461262603099024,1.4640943511356072e-26,2.354799373041273e+22,5.2134938914761855e+23,0.0,5.276385542435597e+23,23547993730.412724,521349389147.6184,0.0,1106684738140.636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994113131226.2068,23547993730.412678,521349389147.6176,0.0,266211866426.27725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1153640259511.849,0.0,0.0,0.0,0.0,15852480.36045355,827788.5347214568,1.0545097792564728e-64,1098920772482.9478,0.0,0.0,0.0,0.0,35498.062860898724,31450992.664270055,4.006483464204294e-63,2039254821578.7317,0.0,0.0,0.0,0.0,23551238693.383408,521424166644.7012,23046523.403540112,266212620945.3625
0.20533333333333337,-1,-1,1,0.0,-26448.513865419107,0.0,-0.000264485138654191,2.3547993583425367e+22,5.2134938602324e+23,0.0,5.272591723395977e+23,23547993583.42536,521349386023.2399,0.0,1105889011293.7922,0.0,0.0,0.0,1093450353007.2472,0.0,0.0,0.0,0.0,23547993583.425316,521349386023.2392,0.0,266211864402.98334,0.0,0.0,0.0,-253773206116.43976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7621605825808569.0,0.0,0.0,0.0,15985.781895029242,0.0,0.0,0.0,-1093450353007.2472,0.0,0.0,0.0,1994083153922.8088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253773206116.43976,0.0,0.0,0.0,-1154405991046.2197,-26448.513865417677,1.1485499890472026e-18,-0.00026448513865417675,1.1485499890472025e-26,2.3547993583425367e+22,5.2134938602324e+23,0.0,5.272591799612029e+23,23547993583.42536,521349386023.2399,0.0,1105889027279.5728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994083153922.8088,23547993583.425316,521349386023.2392,0.0,266211864402.98334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1154405991046.2197,0.0,0.0,0.0,0.0,15852486.899120586,827787.7501380644,1.054508779930602e-64,1098920708014.4156,0.0,0.0,0.0,0.0,35497.56628781303,31450997.458805323,4.0064840749034327e-63,2039254828077.28,0.0,0.0,0.0,0.0,23551238693.383442,521424166644.702,23046523.403540105,266212620945.36288
0.2346666666666667,-1,-1,1,0.0,-26435.660005776423,0.0,-0.00026435660005776415,2.3547993435002697e+22,5.213493828720027e+23,0.0,5.2687667014463486e+23,23547993435.002693,521349382872.0026,0.0,1105086739856.1458,0.0,0.0,0.0,1093433309778.2505,0.0,0.0,0.0,0.0,23547993435.002647,521349382872.0019,0.0,266211862356.663,0.0,0.0,0.0,-254558432278.76895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7343747568152724.0,0.0,0.0,0.0,15402.99375219742,0.0,0.0,0.0,-1093433309778.2505,0.0,0.0,0.0,1994052929459.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254558432278.76895,0.0,0.0,0.0,-1155178036556.5308,-26435.660005775004,1.4640943511356074e-18,-0.00026435660005775,1.4640943511356072e-26,2.3547993435002697e+22,5.213493828720027e+23,0.0,5.268766774883819e+23,23547993435.002693,521349382872.0026,0.0,1105086755259.1382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994052929459.005,23547993435.002647,521349382872.0019,0.0,266211862356.663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1155178036556.5308,0.0,0.0,0.0,0.0,15852493.502124716,827786.9589194244,1.0545077721542167e-64,1098920642788.1317,0.0,0.0,0.0,0.0,35497.06512987015,31451002.293888196,4.006484690766788e-63,2039254834652.2063,0.0,0.0,0.0,0.0,23551238693.383392,521424166644.7018,23046523.403540112,266212620945.36267
0.264,-1,-1,1,0.0,-26422.698279628825,0.0,-0.0002642269827962882,2.354799328510895e+22,5.2134937969321536e+23,0.0,5.2649095808266086e+23,23547993285.108944,521349379693.2152,0.0,1104277735948.3184,0.0,0.0,0.0,1093416123299.9788,0.0,0.0,0.0,0.0,23547993285.10891,521349379693.2146,0.0,266211860286.6901,0.0,0.0,0.0,-255350247638.35083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7070972182714945.0,0.0,0.0,0.0,14830.866576166474,0.0,0.0,0.0,-1093416123299.9788,0.0,0.0,0.0,1994022451382.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255350247638.35083,0.0,0.0,0.0,-1155956560889.5486,-26422.698279627384,1.4640943511356074e-18,-0.0002642269827962738,1.4640943511356072e-26,2.354799328510895e+22,5.2134937969321536e+23,0.0,5.2649096515363295e+23,23547993285.108944,521349379693.2152,0.0,1104277750779.1848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994022451382.042,23547993285.10891,521349379693.2146,0.0,266211860286.6901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1155956560889.5486,0.0,0.0,0.0,0.0,15852500.171140077,827786.1608939704,1.0545067557088074e-64,1098920576782.8658,0.0,0.0,0.0,0.0,35496.559271483246,31451007.17056709,4.006485311927869e-63,2039254841305.6775,0.0,0.0,0.0,0.0,23551238693.38338,521424166644.70184,23046523.403540112,266212620945.36264
0.29333333333333333,-1,-1,1,0.0,-26409.625816401058,0.0,-0.00026409625816401053,2.354799313370661e+22,5.213493764861521e+23,0.0,5.261019507317616e+23,23547993133.706604,521349376486.1519,0.0,1103461820403.8564,0.0,0.0,0.0,1093398789758.8041,0.0,0.0,0.0,0.0,23547993133.706566,521349376486.151,0.0,266211858192.40744,0.0,0.0,0.0,-256148827547.35486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6803260986724556.0,0.0,0.0,0.0,14269.361181139597,0.0,0.0,0.0,-1093398789758.8041,0.0,0.0,0.0,1993991712942.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256148827547.35486,0.0,0.0,0.0,-1156741736461.9888,-26409.62581639959,1.4640943511356074e-18,-0.0002640962581639959,1.4640943511356072e-26,2.354799313370661e+22,5.213493764861521e+23,0.0,5.261019575350229e+23,23547993133.706604,521349376486.1519,0.0,1103461834673.2183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993991712942.797,23547993133.706566,521349376486.151,0.0,266211858192.40744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1156741736461.9888,0.0,0.0,0.0,0.0,15852506.907914707,827785.3558822925,1.054505730365881e-64,1098920509976.4163,0.0,0.0,0.0,0.0,35496.04859200164,31451012.08993817,4.006485938526323e-63,2039254848039.906,0.0,0.0,0.0,0.0,23551238693.383316,521424166644.7017,23046523.40354011,266212620945.36237
0.3226666666666667,-1,-1,1,0.0,-26396.439611111407,0.0,-0.00026396439611111407,2.3547992980756713e+22,5.213493732500553e+23,0.0,5.257095586703846e+23,23547992980.756706,521349373250.0551,0.0,1102638805667.3462,0.0,0.0,0.0,1093381305162.5244,0.0,0.0,0.0,0.0,23547992980.756664,521349373250.05457,0.0,266211856073.12863,0.0,0.0,0.0,-256954355568.3074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6540632744025444.0,0.0,0.0,0.0,13718.516922958952,0.0,0.0,0.0,-1093381305162.5244,0.0,0.0,0.0,1993960707076.2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256954355568.3074,0.0,0.0,0.0,-1157533743763.469,-26396.439611109858,1.306322170091405e-18,-0.00026396439611109856,1.3063221700914048e-26,2.3547992980756713e+22,5.213493732500553e+23,0.0,5.257095652110166e+23,23547992980.756706,521349373250.0551,0.0,1102638819385.8613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993960707076.2012,23547992980.756664,521349373250.05457,0.0,266211856073.12863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1157533743763.469,0.0,0.0,0.0,0.0,15852513.714275641,827784.5436965493,1.0545046958861897e-64,1098920442345.5361,0.0,0.0,0.0,0.0,35495.53296534379,31451017.053149633,4.006486570708354e-63,2039254854857.2576,0.0,0.0,0.0,0.0,23551238693.38344,521424166644.70197,23046523.40354011,266212620945.36295
0.35200000000000004,-1,-1,1,0.0,-26383.136515264203,0.0,-0.00026383136515264197,2.354799282621802e+22,5.213493699841291e+23,0.0,5.253136882063249e+23,23547992826.218014,521349369984.129,0.0,1101808495225.9805,0.0,0.0,0.0,1093363665328.2955,0.0,0.0,0.0,0.0,23547992826.217983,521349369984.1283,0.0,266211853928.13116,0.0,0.0,0.0,-257767024030.44623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6283097799918293.0,0.0,0.0,0.0,13178.355500164733,0.0,0.0,0.0,-1093363665328.2955,0.0,0.0,0.0,1993929426379.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257767024030.44623,0.0,0.0,0.0,-1158332771903.5132,-26383.136515262773,1.4640943511356074e-18,-0.0002638313651526277,1.4640943511356072e-26,2.354799282621802e+22,5.213493699841291e+23,0.0,5.253136944894224e+23,23547992826.218014,521349369984.129,0.0,1101808508404.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993929426379.719,23547992826.217983,521349369984.1283,0.0,266211853928.13116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1158332771903.5132,0.0,0.0,0.0,0.0,15852520.592134511,827783.724140065,1.0545036520192146e-64,1098920373865.8844,0.0,0.0,0.0,0.0,35495.01225967931,31451022.061403222,4.006487208627058e-63,2039254861760.1794,0.0,0.0,0.0,0.0,23551238693.383327,521424166644.7012,23046523.40354011,266212620945.3623
