,X
0,0.0
1,0.0005
2,0.0010999999999999998
3,0.0018199999999999998
4,0.0026839999999999998
5,0.0037208
6,0.004964959999999999
7,0.006457951999999999
8,0.008249542399999999
9,0.010399450879999998
10,0.012979341055999996
11,0.016075209267199995
12,0.019790251120639993
13,0.024248301344767992
14,0.02959796161372159
15,0.03417836929097727
16,0.03784269543278181
17,0.04077415634622545
18,0.04311932507698036
19,0.04499546006158429
20,0.046496368049267434
21,0.047697094439413945
22,0.04865767555153116
23,0.049426140441224925
24,0.05
25,0.0505
26,0.051100000000000007
27,0.051820000000000005
28,0.05268400000000001
29,0.05372080000000001
30,0.054964960000000014
31,0.05645795200000002
32,0.05824954240000002
33,0.060399450880000025
34,0.06297934105600003
35,0.06607520926720004
36,0.06979025112064004
37,0.07424830134476804
38,0.07959796161372164
39,0.08601755393646596
40,0.09372106472375914
41,0.10296527766851096
42,0.11405833320221315
43,0.12736999984265576
44,0.1433439998111869
45,0.16251279977342425
46,0.18251279977342424
47,0.20251279977342423
48,0.22251279977342422
49,0.24251279977342421
50,0.26251279977342423
51,0.28251279977342425
52,0.30251279977342427
53,0.3225127997734243
54,0.3425127997734243
55,0.3625127997734243
56,0.38251279977342434
57,0.40251279977342436
58,0.4225127997734244
59,0.4425127997734244
60,0.4625127997734244
61,0.48251279977342443
62,0.5025127997734244
63,0.5225127997734245
64,0.5425127997734245
65,0.5625127997734245
66,0.5825127997734245
67,0.6025127997734245
68,0.6225127997734246
69,0.6425127997734246
70,0.6625127997734246
71,0.6825127997734246
72,0.7025127997734246
73,0.7225127997734246
74,0.7425127997734247
75,0.7625127997734247
76,0.7825127997734247
77,0.8025127997734247
78,0.8225127997734247
79,0.8425127997734247
80,0.8625127997734248
81,0.8825127997734248
82,0.9025127997734248
83,0.9225127997734248
84,0.9425127997734248
85,0.9625127997734249
86,0.9805102398187399
87,0.9949081918549919
88,1.0064265534839936
89,1.0156412427871948
90,1.023012994229756
91,1.0289103953838048
92,1.0336283163070439
93,1.037402653045635
94,1.040422122436508
95,1.0428376979492064
96,1.0447701583593652
97,1.046316126687492
98,1.0475529013499936
99,1.048542321079995
100,1.0493338568639958
101,1.0499670854911967
102,1.05
103,1.0505
104,1.0511
105,1.05182
106,1.052684
107,1.0537208
108,1.05496496
109,1.056457952
110,1.0582495423999998
111,1.0603994508799996
112,1.0629793410559996
113,1.0660752092671995
114,1.0697902511206394
115,1.0742483013447672
116,1.0795979616137206
117,1.0860175539364647
118,1.0937210647237576
119,1.102965277668509
120,1.114058333202211
121,1.1273699998426532
122,1.1433439998111838
123,1.1625127997734206
124,1.1825127997734206
125,1.2025127997734206
126,1.2225127997734206
127,1.2425127997734207
128,1.2625127997734207
129,1.2825127997734207
130,1.3025127997734207
131,1.3225127997734207
132,1.3425127997734208
133,1.3625127997734208
134,1.3825127997734208
135,1.4025127997734208
136,1.4225127997734208
137,1.4425127997734208
138,1.4625127997734209
139,1.4825127997734209
140,1.502512799773421
141,1.522512799773421
142,1.542512799773421
143,1.562512799773421
144,1.582512799773421
145,1.602512799773421
146,1.622512799773421
147,1.642512799773421
148,1.662512799773421
149,1.682512799773421
150,1.702512799773421
151,1.722512799773421
152,1.742512799773421
153,1.7625127997734211
154,1.7825127997734211
155,1.8025127997734212
156,1.8225127997734212
157,1.8425127997734212
158,1.8625127997734212
159,1.8825127997734212
160,1.9025127997734212
161,1.9225127997734213
162,1.9425127997734213
163,1.9625127997734213
164,1.9825127997734213
165,2.002512799773421
166,2.022512799773421
167,2.042512799773421
168,2.062512799773421
169,2.082512799773421
170,2.102512799773421
171,2.122512799773421
172,2.1425127997734212
173,2.1625127997734213
174,2.1825127997734213
175,2.2025127997734213
176,2.2225127997734213
177,2.2425127997734213
178,2.2625127997734213
179,2.2825127997734214
180,2.3025127997734214
181,2.3225127997734214
182,2.3425127997734214
183,2.3625127997734214
184,2.3825127997734215
185,2.4025127997734215
186,2.4225127997734215
187,2.4425127997734215
188,2.4625127997734215
189,2.4825127997734215
190,2.5016820055589957
191,2.517017370187455
192,2.5292856618902224
193,2.539100295252436
194,2.5469520019422074
195,2.553233367294024
196,2.5582584595754776
197,2.5622785334006406
198,2.565494592460771
199,2.568067439708875
200,2.5701257175073584
201,2.571772339746145
202,2.5730896375371746
203,2.574143475769998
204,2.5749865463562567
205,2.575661002825264
206,2.575858828701292
207,2.576358828701292
208,2.576958828701292
209,2.5776788287012917
210,2.5785428287012917
211,2.5795796287012918
212,2.580823788701292
213,2.582316780701292
214,2.584108371101292
215,2.586258279581292
216,2.5888381697572918
217,2.5919340379684916
218,2.5956490798219316
219,2.6001071300460596
220,2.605456790315013
221,2.6118763826377576
222,2.6195798934250507
223,2.6288241063698026
224,2.639917161903505
225,2.6532288285439476
226,2.669202828512479
227,2.6883716284747163
228,2.7083716284747164
229,2.7283716284747164
230,2.7483716284747164
231,2.7683716284747164
232,2.7883716284747164
233,2.8083716284747164
234,2.8283716284747165
235,2.8483716284747165
236,2.8683716284747165
237,2.8883716284747165
238,2.9083716284747165
239,2.9283716284747165
240,2.9483716284747166
241,2.9683716284747166
242,2.9883716284747166
243,3.0083716284747166
244,3.0283716284747166
245,3.0483716284747167
246,3.0683716284747167
247,3.0883716284747167
248,3.1083716284747167
249,3.1283716284747167
250,3.1483716284747167
251,3.1683716284747168
252,3.188371628474717
253,3.208371628474717
254,3.228371628474717
255,3.248371628474717
256,3.268371628474717
257,3.288371628474717
258,3.308371628474717
259,3.328371628474717
260,3.348371628474717
261,3.368371628474717
262,3.388371628474717
263,3.408371628474717
264,3.428371628474717
265,3.448371628474717
266,3.468371628474717
267,3.488371628474717
268,3.506369068520032
269,3.520767020556284
270,3.5322853821852855
271,3.541500071488487
272,3.548871822931048
273,3.5547692240850965
274,3.5594871450083354
275,3.5632614817469266
276,3.5662809511377995
277,3.568696526650498
278,3.570628987060657
279,3.572174955388784
280,3.5734117300512858
281,3.574401149781287
282,3.575192685565288
283,3.575825914192489
284,3.575858828701292
