sweep_parameter:V,band_info:CB:sign,band_info:IB:sign,band_info:VB:sign,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:I,avg:g_CB:fsf,avg:g_CB:p,avg:g_CB:n,tot:g_CB:I,tot:g_CB:fsf,tot:g_CB:p,tot:g_CB:n,tot:g_opt_ci_CB:I,tot:g_opt_ci_CB:fsf,tot:g_opt_ci_CB:p,tot:g_opt_ci_CB:n,tot:g_opt_iv_CB:I,tot:g_opt_iv_CB:fsf,tot:g_opt_iv_CB:p,tot:g_opt_iv_CB:n,tot:g_opt_cv_CB:I,tot:g_opt_cv_CB:fsf,tot:g_opt_cv_CB:p,tot:g_opt_cv_CB:n,tot:g_nr_top_CB:I,tot:g_nr_top_CB:fsf,tot:g_nr_top_CB:p,tot:g_nr_top_CB:n,tot:g_nr_bottom_CB:I,tot:g_nr_bottom_CB:fsf,tot:g_nr_bottom_CB:p,tot:g_nr_bottom_CB:n,tot:gother_forward_ci:I,tot:gother_forward_ci:fsf,tot:gother_forward_ci:p,tot:gother_forward_ci:n,tot:gabs_forward_ci:I,tot:gabs_forward_ci:fsf,tot:gabs_forward_ci:p,tot:gabs_forward_ci:n,tot:gother_forward_iv:I,tot:gother_forward_iv:fsf,tot:gother_forward_iv:p,tot:gother_forward_iv:n,tot:gabs_forward_iv:I,tot:gabs_forward_iv:fsf,tot:gabs_forward_iv:p,tot:gabs_forward_iv:n,tot:gother_forward_cv:I,tot:gother_forward_cv:fsf,tot:gother_forward_cv:p,tot:gother_forward_cv:n,tot:gabs_forward_cv:I,tot:gabs_forward_cv:fsf,tot:gabs_forward_cv:p,tot:gabs_forward_cv:n,avg:current_IB:n_contact,avg:current_IB:p_contact,tot:current_IB:n_contact,tot:current_IB:p_contact,avg:g_IB:I,avg:g_IB:fsf,avg:g_IB:p,avg:g_IB:n,tot:g_IB:I,tot:g_IB:fsf,tot:g_IB:p,tot:g_IB:n,tot:g_opt_ci_IB:I,tot:g_opt_ci_IB:fsf,tot:g_opt_ci_IB:p,tot:g_opt_ci_IB:n,tot:g_opt_iv_IB:I,tot:g_opt_iv_IB:fsf,tot:g_opt_iv_IB:p,tot:g_opt_iv_IB:n,tot:g_opt_cv_IB:I,tot:g_opt_cv_IB:fsf,tot:g_opt_cv_IB:p,tot:g_opt_cv_IB:n,tot:g_nr_top_IB:I,tot:g_nr_top_IB:fsf,tot:g_nr_top_IB:p,tot:g_nr_top_IB:n,tot:g_nr_bottom_IB:I,tot:g_nr_bottom_IB:fsf,tot:g_nr_bottom_IB:p,tot:g_nr_bottom_IB:n,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:I,avg:g_VB:fsf,avg:g_VB:p,avg:g_VB:n,tot:g_VB:I,tot:g_VB:fsf,tot:g_VB:p,tot:g_VB:n,tot:g_opt_ci_VB:I,tot:g_opt_ci_VB:fsf,tot:g_opt_ci_VB:p,tot:g_opt_ci_VB:n,tot:g_opt_iv_VB:I,tot:g_opt_iv_VB:fsf,tot:g_opt_iv_VB:p,tot:g_opt_iv_VB:n,tot:g_opt_cv_VB:I,tot:g_opt_cv_VB:fsf,tot:g_opt_cv_VB:p,tot:g_opt_cv_VB:n,tot:g_nr_top_VB:I,tot:g_nr_top_VB:fsf,tot:g_nr_top_VB:p,tot:g_nr_top_VB:n,tot:g_nr_bottom_VB:I,tot:g_nr_bottom_VB:fsf,tot:g_nr_bottom_VB:p,tot:g_nr_bottom_VB:n
0.26,-1,-1,1,-31043.91706940141,0.0,-0.000310439170694014,0.0,1.73541186567629e+24,0.0,1.4160549728766003e+24,5.206863999212779e+23,867705932.8380492,0.0,1416054972876.5999,520686399921.27783,455987654.4643153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35148954,0.0,1416054972876.716,520686399921.2835,-261289.9777562724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429137641.9454673,3.5182714109063585e-64,2775468.251996722,24077728.134065084,0.0,0.0,0.0,0.0,431453262.19460285,4.07841845709164e-64,3211779.5103327804,21209679.366780836,0.0,0.0,0.0,0.0,411979568.35220253,62589821.1057938,1416085399914.0945,520711310380.76575,0.0,0.0,0.0,0.0,5140900611.878009,0.0,0.0,0.0,2.5704503059387207e-06,0.0,0.0,0.0,-455987654.4643153,0.0,0.0,0.0,455874371.6638734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261289.9777562724,0.0,0.0,0.0,-148007.1773117032,0.0,0.0,0.0,-5.048709793414476e-18,-31043.91706940069,-5.0487097934144756e-26,-0.00031043917069400686,1.735411865676295e+24,0.0,1.4160549728766003e+24,5.206863999212779e+23,867705932.8380518,0.0,1416054972876.5999,520686399921.27783,0.0,0.0,0.0,0.0,455874371.6638734,0.0,0.0,0.0,411979568.35148954,0.0,1416054972876.716,520686399921.2835,0.0,0.0,0.0,0.0,-148007.1773117032,0.0,0.0,0.0
0.28,-1,-1,1,-31043.91234380926,0.0,-0.00031043912343809257,0.0,1.7354077295578418e+24,0.0,1.416054753593061e+24,5.2068632632459e+23,867703864.778825,0.0,1416054753593.0605,520686326324.5899,455987998.2015228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3514761,0.0,1416054753593.1646,520686326324.5949,-263701.7741741901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429146001.8836557,3.5201674368391105e-64,2776926.111999154,24068283.46127239,0.0,0.0,0.0,0.0,431439644.0864186,4.07533033036299e-64,3209405.037850534,21225063.869466946,0.0,0.0,0.0,0.0,411979568.3522023,62589821.105793774,1416085399914.0938,520711310380.76587,0.0,0.0,0.0,0.0,4339963197.708609,0.0,0.0,0.0,2.169981598854065e-06,0.0,0.0,0.0,-455987998.2015228,0.0,0.0,0.0,455873760.1473619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263701.7741741901,0.0,0.0,0.0,-149463.720011157,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.912343808566,-1.0097419586828951e-25,-0.0003104391234380856,1.7354077295578466e+24,0.0,1.416054753593061e+24,5.2068632632459e+23,867703864.7788275,0.0,1416054753593.0605,520686326324.5899,0.0,0.0,0.0,0.0,455873760.1473619,0.0,0.0,0.0,411979568.3514761,0.0,1416054753593.1646,520686326324.5949,0.0,0.0,0.0,0.0,-149463.720011157,0.0,0.0,0.0
0.3,-1,-1,1,-31043.907568149283,0.0,-0.0003104390756814928,0.0,1.7354034746712582e+24,0.0,1.4160545320581165e+24,5.2068625191370346e+23,867701737.3355334,0.0,1416054532058.1162,520686251913.70337,455988351.44203985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3514631,0.0,1416054532058.2104,520686251913.7075,-266182.45797033043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429154445.2187624,3.522079940610479e-64,2778396.6787861544,24058753.027491778,0.0,0.0,0.0,0.0,431425890.12764966,4.072215365576376e-64,3207009.869332002,21240588.0691905,0.0,0.0,0.0,0.0,411979568.352203,62589821.105793804,1416085399914.0957,520711310380.76636,0.0,0.0,0.0,0.0,5103647708.893386,0.0,0.0,0.0,2.551823854446411e-06,0.0,0.0,0.0,-455988351.44203985,0.0,0.0,0.0,455873131.68108934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266182.45797033043,0.0,0.0,0.0,-150962.6970172929,0.0,0.0,0.0,-7.573064690121715e-18,-31043.907568148516,-7.573064690121713e-26,-0.00031043907568148514,1.7354034746712635e+24,0.0,1.4160545320581165e+24,5.2068625191370346e+23,867701737.335536,0.0,1416054532058.1162,520686251913.70337,0.0,0.0,0.0,0.0,455873131.68108934,0.0,0.0,0.0,411979568.3514631,0.0,1416054532058.2104,520686251913.7075,0.0,0.0,0.0,0.0,-150962.6970172929,0.0,0.0,0.0
0.32,-1,-1,1,-31043.90274104162,0.0,-0.00031043902741041614,0.0,1.7353990945095302e+24,0.0,1.4160543082111577e+24,5.206861766663511e+23,867699547.2546693,0.0,1416054308211.1575,520686176666.35095,455988714.5608216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35144883,0.0,1416054308211.2422,520686176666.35455,-268735.65760180843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429162973.414966,3.5240092661336497e-64,2779880.3565601506,24049135.383511174,0.0,0.0,0.0,0.0,431411997.93314433,4.069073002587847e-64,3204593.346437037,21256254.326618794,0.0,0.0,0.0,0.0,411979568.35220313,62589821.1057938,1416085399914.0955,520711310380.7667,0.0,0.0,0.0,0.0,3386288881.3022537,0.0,0.0,0.0,1.69314444065094e-06,0.0,0.0,0.0,-455988714.5608216,0.0,0.0,0.0,455872485.5761782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268735.65760180843,0.0,0.0,0.0,-152506.67295673865,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.902741040834,-1.0097419586828951e-25,-0.0003104390274104083,1.7353990945095334e+24,0.0,1.4160543082111577e+24,5.206861766663511e+23,867699547.2546709,0.0,1416054308211.1575,520686176666.35095,0.0,0.0,0.0,0.0,455872485.5761782,0.0,0.0,0.0,411979568.35144883,0.0,1416054308211.2422,520686176666.35455,0.0,0.0,0.0,0.0,-152506.67295673865,0.0,0.0,0.0
0.34,-1,-1,1,-31043.89786103945,0.0,-0.00031043897861039445,0.0,1.7353945817683494e+24,0.0,1.4160540819888227e+24,5.2068610055924694e+23,867697290.884079,0.0,1416054081988.8223,520686100559.2468,455989087.92231226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3514335,0.0,1416054081988.8997,520686100559.24994,-271365.3896674356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429171588.08080196,3.525955779844315e-64,2781377.5602003136,24039428.919302516,0.0,0.0,0.0,0.0,431397964.8826072,4.065902644570192e-64,3202154.7934358623,21272065.264372494,0.0,0.0,0.0,0.0,411979568.35220265,62589821.10579381,1416085399914.095,520711310380.7663,0.0,0.0,0.0,0.0,6698071956.635261,0.0,0.0,0.0,3.3490359783172607e-06,0.0,0.0,0.0,-455989087.92231226,0.0,0.0,0.0,455871821.1522072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271365.3896674356,0.0,0.0,0.0,-154098.61955900968,0.0,0.0,0.0,-7.573064690121715e-18,-31043.897861038684,-7.573064690121713e-26,-0.0003104389786103868,1.7353945817683561e+24,0.0,1.4160540819888227e+24,5.2068610055924694e+23,867697290.8840823,0.0,1416054081988.8223,520686100559.2468,0.0,0.0,0.0,0.0,455871821.1522072,0.0,0.0,0.0,411979568.3514335,0.0,1416054081988.8997,520686100559.24994,0.0,0.0,0.0,0.0,-154098.61955900968,0.0,0.0,0.0
0.36,-1,-1,1,-31043.892926623146,0.0,-0.0003104389292662314,0.0,1.7353899281184878e+24,0.0,1.4160538533248063e+24,5.2068602356802277e+23,867694964.0591481,0.0,1416053853324.806,520686023568.02264,455989471.86337626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35141814,0.0,1416053853324.874,520686023568.0253,-274076.1556471043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429180290.98470616,3.527919875093353e-64,2782888.7146538263,24029631.83319934,0.0,0.0,0.0,0.0,431383788.0952712,4.062703650858452e-64,3199693.518200548,21288023.817231093,0.0,0.0,0.0,0.0,411979568.3522027,62589821.1057938,1416085399914.095,520711310380.7661,0.0,0.0,0.0,0.0,4533678293.22865,0.0,0.0,0.0,2.2668391466140747e-06,0.0,0.0,0.0,-455989471.86337626,0.0,0.0,0.0,455871137.7627561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274076.1556471043,0.0,0.0,0.0,-155742.05502472143,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.892926622513,-1.0097419586828951e-25,-0.0003104389292662251,1.7353899281184913e+24,0.0,1.4160538533248063e+24,5.2068602356802277e+23,867694964.05915,0.0,1416053853324.806,520686023568.02264,0.0,0.0,0.0,0.0,455871137.7627561,0.0,0.0,0.0,411979568.35141814,0.0,1416053853324.874,520686023568.0253,0.0,0.0,0.0,0.0,-155742.05502472143,0.0,0.0,0.0
0.38,-1,-1,1,-31043.887936193354,0.0,-0.0003104388793619335,0.0,1.7353851238826385e+24,0.0,1.4160536221496392e+24,5.206859456671491e+23,867692561.9412234,0.0,1416053622149.639,520685945667.1489,455989866.66691065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3514026,0.0,1416053622149.6995,520685945667.1508,-276873.0770906894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429189084.0562817,3.529901976078899e-64,2784414.2548307227,24019742.105992716,0.0,0.0,0.0,0.0,431369464.4278389,4.059475330545627e-64,3197208.812376246,21304133.27432885,0.0,0.0,0.0,0.0,411979568.35220325,62589821.10579381,1416085399914.0957,520711310380.767,0.0,0.0,0.0,0.0,6739050149.918346,0.0,0.0,0.0,3.3695250749588013e-06,0.0,0.0,0.0,-455989866.66691065,0.0,0.0,0.0,455870434.8352361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276873.0770906894,0.0,0.0,0.0,-157441.24541268605,0.0,0.0,0.0,-7.573064690121715e-18,-31043.887936192612,-7.573064690121713e-26,-0.0003104388793619261,1.735385123882645e+24,0.0,1.4160536221496392e+24,5.206859456671491e+23,867692561.9412267,0.0,1416053622149.639,520685945667.1489,0.0,0.0,0.0,0.0,455870434.8352361,0.0,0.0,0.0,411979568.3514026,0.0,1416053622149.6995,520685945667.1508,0.0,0.0,0.0,0.0,-157441.24541268605,0.0,0.0,0.0
0.4,-1,-1,1,-31043.88288806177,0.0,-0.00031043882888061764,0.0,1.7353801575733338e+24,0.0,1.4160533883904652e+24,5.206858668298574e+23,867690078.786571,0.0,1416053388390.4648,520685866829.8573,455990272.5217291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35138464,0.0,1416053388390.5195,520685866829.8586,-279762.0865435194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429197969.3685249,3.531902541153379e-64,2785954.626030514,24009757.480488647,0.0,0.0,0.0,0.0,431354990.50343096,4.0562169370963646e-64,3194699.950686329,21320397.31245366,0.0,0.0,0.0,0.0,411979568.3522022,62589821.105793804,1416085399914.0945,520711310380.7655,0.0,0.0,0.0,0.0,6042420864.105891,0.0,0.0,0.0,3.0212104320526123e-06,0.0,0.0,0.0,-455990272.5217291,0.0,0.0,0.0,455869711.93175167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279762.0865435194,0.0,0.0,0.0,-159201.4965629772,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.882888061118,-1.0097419586828951e-25,-0.00031043882888061113,1.7353801575733394e+24,0.0,1.4160533883904652e+24,5.206858668298574e+23,867690078.7865739,0.0,1416053388390.4648,520685866829.8573,0.0,0.0,0.0,0.0,455869711.93175167,0.0,0.0,0.0,411979568.35138464,0.0,1416053388390.5195,520685866829.8586,0.0,0.0,0.0,0.0,-159201.4965629772,0.0,0.0,0.0
0.42,-1,-1,1,-31043.877780441177,0.0,-0.0003104387778044117,0.0,1.7353750152285345e+24,0.0,1.416053151970801e+24,5.206857870280597e+23,867687507.6141715,0.0,1416053151970.8005,520685787028.05963,455990689.4623037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3513676,0.0,1416053151970.8477,520685787028.06085,-282750.1995003285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429206949.0950569,3.533922065381253e-64,2787510.2848741324,23999675.446402427,0.0,0.0,0.0,0.0,431340362.78125745,4.052927664181093e-64,3192166.189414545,21336820.020653587,0.0,0.0,0.0,0.0,411979568.3522029,62589821.10579385,1416085399914.0955,520711310380.7661,0.0,0.0,0.0,0.0,6709247827.530648,0.0,0.0,0.0,3.3546239137649536e-06,0.0,0.0,0.0,-455990689.4623037,0.0,0.0,0.0,455868968.8408644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282750.1995003285,0.0,0.0,0.0,-161029.57805770266,0.0,0.0,0.0,-7.573064690121715e-18,-31043.877780440424,-7.573064690121713e-26,-0.0003104387778044042,1.7353750152285412e+24,0.0,1.416053151970801e+24,5.206857870280597e+23,867687507.6141748,0.0,1416053151970.8005,520685787028.05963,0.0,0.0,0.0,0.0,455868968.8408644,0.0,0.0,0.0,411979568.3513676,0.0,1416053151970.8477,520685787028.06085,0.0,0.0,0.0,0.0,-161029.57805770266,0.0,0.0,0.0
0.44,-1,-1,1,-31043.872611431154,0.0,-0.0003104387261143115,0.0,1.7353696794515232e+24,0.0,1.416052912810251e+24,5.206857062322448e+23,867684839.7256658,0.0,1416052912810.2507,520685706232.2447,455991117.27892107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35134876,0.0,1416052912810.291,520685706232.2455,-285845.9046046802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429216025.43428195,3.535961082253014e-64,2789081.7006536643,23989493.22976074,0.0,0.0,0.0,0.0,431325577.68015707,4.0496066428843434e-64,3189606.7642066195,21353405.917501386,0.0,0.0,0.0,0.0,411979568.35220253,62589821.10579376,1416085399914.0945,520711310380.76587,0.0,0.0,0.0,0.0,3539025783.539209,0.0,0.0,0.0,1.7695128917694092e-06,0.0,0.0,0.0,-455991117.27892107,0.0,0.0,0.0,455868205.714738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285845.9046046802,0.0,0.0,0.0,-162934.340419943,0.0,0.0,0.0,-7.573064690121715e-18,-31043.872611430503,-7.573064690121713e-26,-0.000310438726114305,1.7353696794515264e+24,0.0,1.416052912810251e+24,5.206857062322448e+23,867684839.7256674,0.0,1416052912810.2507,520685706232.2447,0.0,0.0,0.0,0.0,455868205.714738,0.0,0.0,0.0,411979568.35134876,0.0,1416052912810.291,520685706232.2455,0.0,0.0,0.0,0.0,-162934.340419943,0.0,0.0,0.0
0.46,-1,-1,1,-31043.867379001636,0.0,-0.0003104386737900163,0.0,1.7353641280171369e+24,0.0,1.416052670824239e+24,5.206856244113807e+23,867682064.0084727,0.0,1416052670824.2388,520685624411.38055,455991555.3840804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3513293,0.0,1416052670824.2727,520685624411.381,-289059.72693745175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429225200.4886377,3.538020164474131e-64,2790669.3569512046,23979207.78529305,0.0,0.0,0.0,0.0,431310631.7752815,4.046252940419804e-64,3187020.8874335196,21370159.963489518,0.0,0.0,0.0,0.0,411979568.3522027,62589821.10579381,1416085399914.0955,520711310380.7665,0.0,0.0,0.0,0.0,5677342414.856584,0.0,0.0,0.0,2.8386712074279785e-06,0.0,0.0,0.0,-455991555.3840804,0.0,0.0,0.0,455867423.2734534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289059.72693745175,0.0,0.0,0.0,-164927.6163075967,0.0,0.0,0.0,-7.573064690121715e-18,-31043.86737900097,-7.573064690121713e-26,-0.00031043867379000964,1.7353641280171433e+24,0.0,1.416052670824239e+24,5.206856244113807e+23,867682064.0084759,0.0,1416052670824.2388,520685624411.38055,0.0,0.0,0.0,0.0,455867423.2734534,0.0,0.0,0.0,411979568.3513293,0.0,1416052670824.2727,520685624411.381,0.0,0.0,0.0,0.0,-164927.6163075967,0.0,0.0,0.0
0.48,-1,-1,1,-31043.862080968822,0.0,-0.0003104386208096882,0.0,1.7353583318408987e+24,0.0,1.41605242592368e+24,5.206855415327983e+23,867679165.9203535,0.0,1416052425923.6797,520685541532.79816,455992002.6141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35130847,0.0,1416052425923.7095,520685541532.7984,-292405.0450553929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429234476.08136666,3.540099923745383e-64,2792273.753308339,23968815.789553463,0.0,0.0,0.0,0.0,431295522.09657216,4.042865560488039e-64,3184407.7454724247,21387087.572237637,0.0,0.0,0.0,0.0,411979568.35220253,62589821.10579381,1416085399914.0952,520711310380.76605,0.0,0.0,0.0,0.0,4917383193.970269,0.0,0.0,0.0,2.4586915969848633e-06,0.0,0.0,0.0,-455992002.6141,0.0,0.0,0.0,455866623.1088606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292405.0450553929,0.0,0.0,0.0,-167025.53981363183,0.0,0.0,0.0,-5.048709793414476e-18,-31043.862080968163,-5.0487097934144756e-26,-0.0003104386208096816,1.7353583318409038e+24,0.0,1.41605242592368e+24,5.206855415327983e+23,867679165.9203562,0.0,1416052425923.6797,520685541532.79816,0.0,0.0,0.0,0.0,455866623.1088606,0.0,0.0,0.0,411979568.35130847,0.0,1416052425923.7095,520685541532.7984,0.0,0.0,0.0,0.0,-167025.53981363183,0.0,0.0,0.0
0.5,-1,-1,1,-31043.856714964633,0.0,-0.00031043856714964627,0.0,1.7353522520121546e+24,0.0,1.4160521780146476e+24,5.206854575620705e+23,867676126.0059814,0.0,1416052178014.6472,520685457562.0704,455992456.9349312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35128653,0.0,1416052178014.6724,520685457562.0704,-295899.28023715527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429243853.48462355,3.542201009421775e-64,2793895.4066455523,23958313.631699596,0.0,0.0,0.0,0.0,431280246.5716374,4.0394434454608307e-64,3181766.4963947367,21404194.625516146,0.0,0.0,0.0,0.0,411979568.35220265,62589821.105793804,1416085399914.0952,520711310380.76636,0.0,0.0,0.0,0.0,5412846803.665758,0.0,0.0,0.0,2.7064234018325806e-06,0.0,0.0,0.0,-455992456.9349312,0.0,0.0,0.0,455865808.1355984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295899.28023715527,0.0,0.0,0.0,-169250.48090161424,0.0,0.0,0.0,-7.573064690121715e-18,-31043.856714963837,-7.573064690121713e-26,-0.00031043856714963835,1.7353522520121597e+24,0.0,1.4160521780146476e+24,5.206854575620705e+23,867676126.0059841,0.0,1416052178014.6472,520685457562.0704,0.0,0.0,0.0,0.0,455865808.1355984,0.0,0.0,0.0,411979568.35128653,0.0,1416052178014.6724,520685457562.0704,0.0,0.0,0.0,0.0,-169250.48090161424,0.0,0.0,0.0
0.52,-1,-1,1,-31043.85127839326,0.0,-0.00031043851278393257,0.0,1.73534583545262e+24,0.0,1.416051926998002e+24,5.2068537246287305e+23,867672917.7262142,0.0,1416051926998.0015,520685372462.8729,455992915.00694716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.3512629,0.0,1416051926998.0227,520685372462.87244,-299565.6319965063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429253333.0202172,3.5443241058731e-64,2795534.8520298237,23947697.397919323,0.0,0.0,0.0,0.0,431264804.67612195,4.035985480680065e-64,3179096.2687159814,21421487.49861965,0.0,0.0,0.0,0.0,411979568.3522028,62589821.1057938,1416085399914.0955,520711310380.7664,0.0,0.0,0.0,0.0,4021450877.1900806,0.0,0.0,0.0,2.010725438594818e-06,0.0,0.0,0.0,-455992915.00694716,0.0,0.0,0.0,455864983.25889134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299565.6319965063,0.0,0.0,0.0,-171633.88393859164,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.851278392594,-1.0097419586828951e-25,-0.0003104385127839259,1.735345835452624e+24,0.0,1.416051926998002e+24,5.2068537246287305e+23,867672917.7262162,0.0,1416051926998.0015,520685372462.8729,0.0,0.0,0.0,0.0,455864983.25889134,0.0,0.0,0.0,411979568.3512629,0.0,1416051926998.0227,520685372462.87244,0.0,0.0,0.0,0.0,-171633.88393859164,0.0,0.0,0.0
0.54,-1,-1,1,-31043.845768371935,0.0,-0.00031043845768371933,0.0,1.7353390085551232e+24,0.0,1.4160516727689802e+24,5.206852861968352e+23,867669504.2774658,0.0,1416051672768.98,520685286196.835,455993371.54220545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411979568.35123694,0.0,1416051672768.9968,520685286196.83417,-303435.61597722245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429262913.4752103,3.546469928231178e-64,2797192.642260696,23936962.844431963,0.0,0.0,0.0,0.0,431249198.3856436,4.03249050138446e-64,3176396.1620699437,21438973.104353286,0.0,0.0,0.0,0.0,411979568.35220253,62589821.105793774,1416085399914.0945,520711310380.76624,0.0,0.0,0.0,0.0,3522261977.1961284,0.0,0.0,0.0,1.7611309885978699e-06,0.0,0.0,0.0,-455993371.54220545,0.0,0.0,0.0,455864156.3613025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303435.61597722245,0.0,0.0,0.0,-174220.43507252852,0.0,0.0,0.0,-1.0097419586828953e-17,-31043.845768371262,-1.0097419586828951e-25,-0.0003104384576837126,1.7353390085551264e+24,0.0,1.4160516727689802e+24,5.206852861968352e+23,867669504.2774675,0.0,1416051672768.98,520685286196.835,0.0,0.0,0.0,0.0,455864156.3613025,0.0,0.0,0.0,411979568.35123694,0.0,1416051672768.9968,520685286196.83417,0.0,0.0,0.0,0.0,-174220.43507252852,0.0,0.0,0.0
