sweep_parameter:parameter,band_info:CB:sign,band_info:VB:sign,avg:current_CB:pn_junction,avg:current_CB:n_contact,avg:current_CB:p_contact,tot:current_CB:pn_junction,tot:current_CB:n_contact,tot:current_CB:p_contact,avg:g_CB:nSi,avg:g_CB:pSi,tot:g_CB:nSi,tot:g_CB:pSi,tot:g_SRH_CB:nSi,tot:g_SRH_CB:pSi,avg:current_VB:pn_junction,avg:current_VB:n_contact,avg:current_VB:p_contact,tot:current_VB:pn_junction,tot:current_VB:n_contact,tot:current_VB:p_contact,avg:g_VB:nSi,avg:g_VB:pSi,tot:g_VB:nSi,tot:g_VB:pSi,tot:g_SRH_VB:nSi,tot:g_SRH_VB:pSi
# ,,,mA/cm^2,mA/cm^2,mA/cm^2,mA,mA,mA,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s,mA/cm^2,mA/cm^2,mA/cm^2,mA,mA,mA,cm^-3/s,cm^-3/s,1/s,1/s,1/s,1/s
0.0,-1,1,-9.453308146953837e-20,-1.0422393895146856e-19,0.0,-9.453308146953835e-28,-1.0422393895146854e-27,0.0,2.4084035646534567,23.664810095683645,6.021008911633641e-13,5.916202523920909e-12,6.021008911633641e-13,5.916202523920909e-12,-9.606135113470414e-21,8.242259275221526e-45,-1.0414090815345411e-19,-9.606135113470413e-29,8.242259275221525e-53,-1.041409081534541e-27,2.4084035646534567,23.664810095683645,6.021008911633641e-13,5.916202523920909e-12,6.021008911633641e-13,5.916202523920909e-12
0.05,-1,1,3.429150380453766e-06,3.640586400307742e-06,0.0,3.429150380453765e-14,3.6405864003077415e-14,0.0,-52787189831909.39,-856123013776709.5,-13.196797457977345,-214.03075344417726,-13.196797457977345,-214.03075344417726,2.1143598592172875e-07,-3.668424217294331e-31,3.6405863663754764e-06,2.114359859217287e-15,-3.6684242172943305e-39,3.640586366375476e-14,-52787189831909.39,-856123013776709.5,-13.196797457977345,-214.03075344417726,-13.196797457977345,-214.03075344417726
0.1,-1,1,1.8675235166056462e-05,1.939866831175332e-05,0.0,1.867523516605646e-13,1.9398668311753317e-13,0.0,-180612599652770.03,-4662466425330053.0,-45.1531499131925,-1165.6166063325127,-45.1531499131925,-1165.6166063325127,7.234331510299705e-07,-1.2357350507648401e-30,1.939866831708633e-05,7.234331510299703e-15,-1.23573505076484e-38,1.9398668317086327e-13,-180612599652770.03,-4662466425330053.0,-45.1531499131925,-1165.6166063325127,-45.1531499131925,-1165.6166063325127
0.15000000000000002,-1,1,7.719538142206401e-05,7.928465078760868e-05,0.0,7.7195381422064e-13,7.928465078760866e-13,0.0,-521607797739833.5,-1.9272628070071724e+16,-130.40194943495834,-4818.157017517929,-130.40194943495834,-4818.157017517929,2.0892693724579068e-06,-1.1996796412777625e-29,7.928465079452132e-05,2.0892693724579064e-14,-1.1996796412777624e-37,7.928465079452132e-13,-521607797739833.5,-1.9272628070071724e+16,-130.40194943495834,-4818.157017517929,-130.40194943495834,-4818.157017517929
0.2,-1,1,0.0002681574259565175,0.0002739703544630754,0.0,2.6815742595651744e-12,2.739703544630753e-12,0.0,-1451257979931020.8,-6.69482710522721e+16,-362.8144949827551,-16737.067763068015,-362.8144949827551,-16737.067763068015,5.812928530137372e-06,-1.1252987187914013e-28,0.0002739703544866534,5.81292853013737e-14,-1.1252987187914011e-36,2.7397035448665334e-12,-1451257979931020.8,-6.69482710522721e+16,-362.8144949827551,-16737.067763068015,-362.8144949827551,-16737.067763068015
0.25,-1,1,0.000832485083183347,0.0008485141339904865,0.0,8.32485083183347e-12,8.485141339904864e-12,0.0,-4001819017007758.0,-2.078384880759005e+17,-1000.4547542519393,-51959.62201897511,-1000.4547542519393,-51959.62201897511,1.6029050835882584e-05,-7.228278632169704e-28,0.0008485141340192264,1.6029050835882582e-13,-7.228278632169703e-36,8.485141340192263e-12,-4001819017007758.0,-2.078384880759005e+17,-1000.4547542519393,-51959.62201897511,-1000.4547542519393,-51959.62201897511
0.30000000000000004,-1,1,0.002454840983738637,0.0024990299829949904,0.0,2.4548409837386365e-11,2.4990299829949897e-11,0.0,-1.1032242612640808e+16,-6.128765592210758e+17,-2758.0606531602016,-153219.1398052689,-2758.0606531602016,-153219.1398052689,4.418899928245758e-05,4.626213118958808e-28,0.0024990299830210854,4.418899928245757e-13,4.626213118958807e-36,2.499029983021085e-11,-1.1032242612640808e+16,-6.128765592210758e+17,-2758.0606531602016,-153219.1398052689,-2758.0606531602016,-153219.1398052689
0.35000000000000003,-1,1,0.007186653554667659,0.007308914929770854,0.0,7.186653554667659e-11,7.308914929770853e-11,0.0,-3.052382208996599e+16,-1.7942229333276e+18,-7630.955522491497,-448555.7333318998,-7630.955522491497,-448555.7333318998,0.0001222613751153619,-2.0696277002905297e-26,0.007308914929782993,1.2226137511536188e-12,-2.0696277002905294e-34,7.308914929782992e-11,-3.052382208996599e+16,-1.7942229333276e+18,-7630.955522491497,-448555.7333318998,-7630.955522491497,-448555.7333318998
0.4,-1,1,0.021628282806607273,0.02196881996936036,0.0,2.162828280660727e-10,2.1968819969360355e-10,0.0,-8.501863945443286e+16,-5.399725519743066e+18,-21254.659863608213,-1349931.3799357659,-21254.659863608213,-1349931.3799357659,0.0003405371627275534,-2.794645983583831e-25,0.02196881996933472,3.4053716272755337e-12,-2.7946459835838306e-33,2.1968819969334718e-10,-8.501863945443286e+16,-5.399725519743066e+18,-21254.659863608213,-1349931.3799357659,-21254.659863608213,-1349931.3799357659
0.45,-1,1,0.06970089222929693,0.07065996575001426,0.0,6.970089222929692e-10,7.065996575001425e-10,0.0,-2.394426652593173e+17,-1.7401551626333762e+19,-59860.666314829316,-4350387.906583439,-59860.666314829316,-4350387.906583439,0.0009590735206593799,-1.299509004834039e-24,0.07065996574995591,9.590735206593798e-12,-1.2995090048340388e-32,7.065996574995589e-10,-2.394426652593173e+17,-1.7401551626333762e+19,-59860.666314829316,-4350387.906583439,-59860.666314829316,-4350387.906583439
0.5,-1,1,0.2537208695984269,0.2564748940265269,0.0,2.5372086959842683e-09,2.5647489402652686e-09,0.0,-6.875708014480035e+17,-6.334405236432452e+19,-171892.70036200082,-15836013.091081122,-171892.70036200082,-15836013.091081122,0.0027540244280718934,-1.706141888142239e-23,0.25647489402649776,2.754024428071893e-11,-1.7061418881422386e-31,2.564748940264977e-09,-6.875708014480035e+17,-6.334405236432452e+19,-171892.70036200082,-15836013.091081122,-171892.70036200082,-15836013.091081122
0.55,-1,1,1.093988668962299,1.102187514959396,0.0,1.0939886689622989e-08,1.1021875149593959e-08,0.0,-2.0469270554547459e+18,-2.731256328972623e+20,-511731.76386368636,-68281408.22431554,-511731.76386368636,-68281408.22431554,0.008198845997137723,-3.3735512374248835e-23,1.102187514959432,8.198845997137721e-11,-3.373551237424883e-31,1.102187514959432e-08,-2.0469270554547459e+18,-2.731256328972623e+20,-511731.76386368636,-68281408.22431554,-511731.76386368636,-68281408.22431554
0.6000000000000001,-1,1,5.612043313180059,5.638154399233922,0.0,5.612043313180058e-08,5.6381543992339204e-08,0.0,-6.518903820075617e+18,-1.4011048948504613e+21,-1629725.955018904,-350276223.7126152,-1629725.955018904,-350276223.7126152,0.02611108605385151,-8.206549241056686e-22,5.6381543992338825,2.6111086053851505e-10,-8.206549241056685e-30,5.638154399233882e-08,-6.518903820075617e+18,-1.4011048948504613e+21,-1629725.955018904,-350276223.7126152,-1629725.955018904,-350276223.7126152
0.65,-1,1,32.68493727800789,32.77831412912119,0.0,3.268493727800788e-07,3.277831412912119e-07,0.0,-2.3312500681611407e+19,-8.160134056357976e+21,-5828125.170402851,-2040033514.089493,-5828125.170402851,-2040033514.089493,0.09337685111311429,-8.410445789172917e-21,32.77831412912085,9.337685111311428e-10,-8.410445789172916e-29,3.2778314129120844e-07,-2.3312500681611407e+19,-8.160134056357976e+21,-5828125.170402851,-2040033514.089493,-5828125.170402851,-2040033514.089493
0.7000000000000001,-1,1,198.77638327196374,199.17002392931118,0.0,1.987763832719637e-06,1.9917002392931116e-06,0.0,-9.827647841301989e+19,-4.9626588551735625e+22,-24569119.603254966,-12406647137.9339,-24569119.603254966,-12406647137.9339,0.39364065734617804,-2.2217407467829632e-20,199.17002392930897,3.93640657346178e-09,-2.221740746782963e-28,1.991700239293089e-06,-9.827647841301989e+19,-4.9626588551735625e+22,-24569119.603254966,-12406647137.9339,-24569119.603254966,-12406647137.9339
0.75,-1,1,1025.1829748683308,1027.161970117019,0.0,1.0251829748683306e-05,1.027161970117019e-05,0.0,-4.940767174510608e+20,-2.559475771082309e+23,-123519179.36276516,-63986894277.05769,-123519179.36276516,-63986894277.05769,1.978995248685055,-2.0705672832107175e-19,1027.1619701170127,1.9789952486850548e-08,-2.0705672832107173e-27,1.0271619701170125e-05,-4.940767174510608e+20,-2.559475771082309e+23,-123519179.36276516,-63986894277.05769,-123519179.36276516,-63986894277.05769
0.8,-1,1,2762.9279128129187,2774.347446936614,0.0,2.7629279128129182e-05,2.7743474469366132e-05,0.0,-2.851005295943876e+21,-6.897936488847779e+23,-712751323.9859688,-172448412221.1944,-712751323.9859688,-172448412221.1944,11.419534123681114,-1.2282907109821257e-18,2774.3474469365847,1.1419534123681113e-07,-1.2282907109821255e-26,2.7743474469365844e-05,-2.851005295943876e+21,-6.897936488847779e+23,-712751323.9859688,-172448412221.1944,-712751323.9859688,-172448412221.1944
0.8500000000000001,-1,1,3744.1260607383015,3815.1335206018507,0.0,3.744126060738301e-05,3.81513352060185e-05,0.0,-1.7727749830232854e+22,-9.347599571253102e+23,-4431937457.558212,-233689989281.32745,-4431937457.558212,-233689989281.32745,71.00745986352787,-1.1234373070198513e-17,3815.13352060181,7.100745986352786e-07,-1.1234373070198512e-25,3.8151335206018095e-05,-1.7727749830232854e+22,-9.347599571253102e+23,-4431937457.558212,-233689989281.32745,-4431937457.558212,-233689989281.32745
0.9,-1,1,4311.265900418498,4743.336873242509,0.0,4.311265900418497e-05,4.7433368732425085e-05,0.0,-1.0787100580487437e+23,-1.0763523083506242e+24,-26967751451.218586,-269088077087.6559,-26967751451.218586,-269088077087.6559,432.07097282399184,-3.9226647772499247e-17,4743.336873242465,4.3207097282399175e-06,-3.922664777249924e-25,4.743336873242465e-05,-1.0787100580487437e+23,-1.0763523083506242e+24,-26967751451.218586,-269088077087.6559,-26967751451.218586,-269088077087.6559
0.9500000000000001,-1,1,6029.759801896593,8157.576424804639,0.0,6.029759801896591e-05,8.157576424804638e-05,0.0,-5.3123151917179984e+23,-1.5053921589790861e+24,-132807879792.94994,-376348039744.77136,-132807879792.94994,-376348039744.77136,2127.8166229079957,-3.8926587887163714e-16,8157.576424804557,2.127816622907995e-05,-3.892658788716371e-24,8.157576424804556e-05,-5.3123151917179984e+23,-1.5053921589790861e+24,-132807879792.94994,-376348039744.77136,-132807879792.94994,-376348039744.77136
1.0,-1,1,11455.219097458326,19101.578949959196,0.0,0.00011455219097458326,0.00019101578949959195,0.0,-1.9089931513895638e+24,-2.8599144202665913e+24,-477248287847.39087,-714978605066.6476,-477248287847.39087,-714978605066.6476,7646.359852500743,-2.4903549916922126e-15,19101.57894995897,7.646359852500742e-05,-2.4903549916922122e-23,0.00019101578949958967,-1.9089931513895638e+24,-2.8599144202665913e+24,-477248287847.39087,-714978605066.6476,-477248287847.39087,-714978605066.6476
